,State,County,Track,Mean Income,Family Size,Population,Black
367,17,031,010100,47638,2.83,4106,1586
368,17,031,570500,55279,3.73,2418,91
369,17,031,560200,54773,3.31,1541,1110
370,17,031,838600,18716,3.74,1374,1320
371,17,031,282700,67568,3.83,2581,1498
372,17,031,832500,143900,3.18,3824,274
373,17,031,831200,50143,4.36,4932,222
374,17,031,490500,54750,3.27,2266,2088
375,17,031,530501,51021,3.90,4695,4583
376,17,031,381800,44645,3.32,1240,995
377,17,031,840300,53993,3.95,4025,152
378,17,031,810502,54526,3.49,4982,22
379,17,031,301701,37978,4.28,3924,2
380,17,031,822000,54147,3.28,4356,28
381,17,031,812600,77619,2.92,3403,816
382,17,031,252000,35378,3.84,6265,6076
383,17,031,140602,57664,3.93,5356,343
384,17,031,230200,52382,4.32,2134,444
385,17,031,833900,34217,4.04,2433,1281
386,17,031,440300,55720,2.99,4584,4403
387,17,031,430102,30879,3.39,3064,2910
388,17,031,671300,42990,4.09,1999,1902
389,17,031,480500,53703,3.36,2926,2538
390,17,031,110300,83891,3.56,5257,44
391,17,031,600700,40883,3.19,2354,153
392,17,031,730600,59807,3.28,3276,3244
393,17,031,835200,57461,4.01,1814,6
394,17,031,320100,149459,2.26,11104,543
395,17,031,691000,52421,3.78,2599,2529
396,17,031,330100,123798,2.77,17935,4041
397,17,031,071200,136078,2.68,2118,63
398,17,031,210602,57330,3.62,4249,160
399,17,031,700501,80912,3.84,7751,6770
400,17,031,832200,131599,3.45,3469,82
401,17,031,640600,49527,3.23,4352,0
402,17,031,243500,120489,2.73,3040,337
403,17,031,220702,52271,3.96,4089,331
404,17,031,241500,122497,3.21,2917,88
405,17,031,240200,128738,2.91,1507,20
406,17,031,620100,54741,4.55,4604,10
407,17,031,243000,90370,2.99,2472,69
408,17,031,221300,65050,2.97,2671,147
409,17,031,031502,37466,3.08,4027,1807
410,17,031,430400,44427,4.11,3440,3240
411,17,031,190602,60830,3.84,5434,119
412,17,031,842300,146152,2.96,3754,371
413,17,031,240300,167162,3.00,1335,0
414,17,031,300700,34474,4.05,4910,41
415,17,031,020500,42548,3.63,5794,1190
416,17,031,020802,60014,4.60,7508,445
417,17,031,832400,107071,3.27,3087,79
418,17,031,231100,53239,4.50,1227,722
419,17,031,500300,44599,3.09,1422,479
420,17,031,283800,73449,3.01,3414,1510
421,17,031,220400,97063,3.39,2553,0
422,17,031,630800,49695,4.64,7702,263
423,17,031,381900,66298,3.67,1339,1218
424,17,031,251800,36843,3.93,5094,4916
425,17,031,841800,45306,3.60,2599,2529
426,17,031,834700,30355,4.31,2042,1797
427,17,031,836100,41978,3.62,1867,1852
428,17,031,530502,39999,3.79,1467,1452
429,17,031,680900,20153,3.25,3189,3091
430,17,031,691500,40861,2.86,1819,1775
431,17,031,843000,25222,3.87,2848,2784
432,17,031,220500,82566,2.98,2756,182
433,17,031,040100,82225,3.24,4045,333
434,17,031,190100,42429,3.87,2625,38
435,17,031,241300,125617,3.28,1942,188
436,17,031,300500,38702,3.93,3273,163
437,17,031,841900,130739,2.92,6158,864
438,17,031,411100,137660,2.85,2266,138
439,17,031,400800,22607,3.61,3164,3019
440,17,031,670600,37958,5.04,1460,1346
441,17,031,834600,31385,4.64,2885,2763
442,17,031,660302,39767,4.75,5616,768
443,17,031,063000,111111,2.55,3160,126
444,17,031,691200,40940,3.72,3104,2811
445,17,031,260100,21580,3.56,1014,916
446,17,031,340500,43673,2.91,1629,85
447,17,031,470100,38552,4.42,2601,2601
448,17,031,831800,76251,3.38,6327,300
449,17,031,810301,87448,3.14,3741,1130
450,17,031,240700,93436,2.85,1383,172
451,17,031,190702,50687,3.87,5515,304
452,17,031,190701,51315,4.00,2981,85
453,17,031,140100,44545,3.84,3643,331
454,17,031,292200,35750,4.05,2989,2821
455,17,031,300600,47101,4.46,3420,465
456,17,031,242000,82569,3.44,4920,718
457,17,031,222200,161513,3.09,2099,67
458,17,031,831000,187941,2.81,2284,73
459,17,031,190402,65568,4.05,5178,92
460,17,031,030400,60570,3.07,2632,348
461,17,031,050600,124981,2.96,2371,57
462,17,031,411200,155849,2.84,1675,208
463,17,031,821600,71395,3.60,4415,1746
464,17,031,291200,35409,4.04,2471,2402
465,17,031,260200,33319,3.84,1230,1205
466,17,031,520500,74937,3.71,4565,25
467,17,031,838300,59776,3.00,1448,651
468,17,031,243100,115779,3.70,2659,116
469,17,031,020400,69879,3.36,4518,688
470,17,031,170800,66902,3.31,3775,12
471,17,031,030200,92956,3.08,4978,170
472,17,031,430800,48735,3.10,1676,1580
473,17,031,140702,61792,3.96,6072,405
474,17,031,242200,112156,3.06,3681,138
475,17,031,030800,107205,3.01,4176,189
476,17,031,031000,89902,2.94,3801,198
477,17,031,660600,37032,3.74,6046,3716
478,17,031,100300,76407,3.15,5783,89
479,17,031,100100,75350,3.31,5285,1
480,17,031,834800,29337,3.82,1458,1439
481,17,031,431302,35558,3.63,3951,3707
482,17,031,570400,48759,3.88,1827,14
483,17,031,251500,40967,4.02,3922,3573
484,17,031,671100,29154,4.54,1449,1445
485,17,031,170200,83766,3.70,4166,0
486,17,031,242300,101410,2.70,3149,122
487,17,031,842100,46148,4.07,7111,4393
488,17,031,081202,160090,2.34,3005,24
489,17,031,301100,39221,4.28,2967,98
490,17,031,843300,45634,3.92,1848,885
491,17,031,061200,131551,2.94,2122,31
492,17,031,271800,31213,4.47,1345,1334
493,17,031,490800,60196,3.31,3883,3750
494,17,031,040401,92219,3.17,3009,105
495,17,031,210700,63310,3.42,4214,28
496,17,031,030900,93397,2.99,3188,363
497,17,031,150401,76145,3.45,4965,53
498,17,031,520200,41060,4.75,4120,354
499,17,031,612100,42875,4.41,1093,968
500,17,031,720300,120981,3.63,4024,1371
501,17,031,061000,120847,2.33,1774,27
502,17,031,300900,33422,3.71,4133,98
503,17,031,310700,43603,3.49,1440,60
504,17,031,170300,68524,3.56,4931,4
505,17,031,390100,87011,3.39,1491,1343
506,17,031,661000,47544,3.85,5501,4940
507,17,031,480300,55848,2.87,1202,1143
508,17,031,834000,47303,3.40,3063,2968
509,17,031,530503,49015,3.94,5469,5368
510,17,031,301801,39548,3.94,4080,82
511,17,031,530400,62278,3.35,1980,1916
512,17,031,580800,36777,3.92,1846,5
513,17,031,060100,159662,3.11,2675,219
514,17,031,620300,55758,4.35,7371,209
515,17,031,460100,53531,3.86,3751,2903
516,17,031,430500,32443,3.58,3456,3299
517,17,031,430300,32569,3.43,2141,2124
518,17,031,831600,50008,3.84,7187,537
519,17,031,252101,42465,4.04,1685,1520
520,17,031,200402,54599,4.02,4164,50
521,17,031,670900,36778,4.03,1506,1460
522,17,031,711400,37318,3.84,2346,2336
523,17,031,080201,100571,2.34,3297,166
524,17,031,020702,61255,4.13,7833,312
525,17,031,560100,62029,4.00,1486,161
526,17,031,490700,44239,3.81,2694,2642
527,17,031,700302,68229,3.82,5314,918
528,17,031,460200,40778,3.88,2523,1357
529,17,031,841000,64766,2.44,736,333
530,17,031,090300,106796,3.25,1323,0
531,17,031,190900,54697,3.96,2018,86
532,17,031,120100,134744,3.19,3800,1
533,17,031,830700,58084,2.86,3523,1243
534,17,031,838800,30351,3.94,3525,1960
535,17,031,837300,41542,3.72,2138,1924
536,17,031,160601,66787,4.23,4383,6
537,17,031,062300,220924,3.05,1611,7
538,17,031,580300,42946,4.03,2381,73
539,17,031,843600,55028,3.80,2639,2406
540,17,031,080300,159994,2.77,4733,367
541,17,031,690300,27382,3.73,2437,2234
542,17,031,560700,62234,4.12,3517,13
543,17,031,340400,40117,3.62,2005,2
544,17,031,110400,78917,3.17,4455,25
545,17,031,161200,69224,3.62,2812,18
546,17,031,670700,34408,3.89,1365,1309
547,17,031,062900,154590,2.73,4217,97
548,17,031,060500,81144,2.54,1242,63
549,17,031,150700,78783,3.50,4577,18
550,17,031,301600,38342,4.30,4722,104
551,17,031,020801,59487,3.10,4760,136
552,17,031,240900,51580,3.86,1263,125
553,17,031,842900,34591,3.33,2412,1842
554,17,031,690500,57755,3.96,778,774
555,17,031,720200,86027,3.61,4312,2434
556,17,031,843100,43382,3.92,1931,1711
557,17,031,381400,41553,3.95,1755,1749
558,17,031,081700,124735,2.57,3234,115
559,17,031,050700,152084,3.09,1587,12
560,17,031,420500,34073,3.67,1963,1800
561,17,031,221400,71574,3.24,3034,63
562,17,031,260700,30825,4.16,2015,1842
563,17,031,270500,29013,3.68,1878,1666
564,17,031,161100,133367,3.06,1919,43
565,17,031,050100,100813,3.07,2564,83
566,17,031,050300,101395,3.21,2520,17
567,17,031,061901,79165,2.53,3842,89
568,17,031,837000,43929,3.90,2244,2043
569,17,031,222600,65179,3.50,1625,82
570,17,031,010201,58218,3.46,7229,3295
571,17,031,040402,119684,2.90,5042,217
572,17,031,301200,34589,3.69,3394,286
573,17,031,310300,55932,3.03,1673,33
574,17,031,520400,58963,3.93,4223,242
575,17,031,292500,42488,3.88,4168,3921
576,17,031,490902,48829,3.50,5146,5045
577,17,031,730300,55792,3.32,1172,1148
578,17,031,843800,46843,3.97,1853,870
579,17,031,843200,46723,4.11,2538,48
580,17,031,061500,116786,2.84,1843,14
581,17,031,100600,85644,3.48,5125,51
582,17,031,611900,34584,4.74,1980,1586
583,17,031,841700,32691,3.70,1607,794
584,17,031,490901,50279,4.11,4423,4206
585,17,031,151200,65147,3.68,3541,8
586,17,031,310600,40332,3.88,5135,401
587,17,031,191100,50182,4.36,7570,264
588,17,031,640400,85727,3.58,3819,0
589,17,031,836700,35956,3.90,2194,1715
590,17,031,431400,34507,2.93,6146,5528
591,17,031,836500,34508,3.19,1573,1512
592,17,031,252202,38268,4.09,5083,4923
593,17,031,051200,182286,3.30,1636,144
594,17,031,200401,48273,4.11,4101,77
595,17,031,191301,47481,4.49,5677,403
596,17,031,191302,53813,4.38,5468,468
597,17,031,520600,50093,4.29,2825,0
598,17,031,750600,55065,3.97,3595,3415
599,17,031,071400,107042,2.62,4579,275
600,17,031,160100,65541,3.56,2690,13
601,17,031,230100,53660,3.94,1565,380
602,17,031,160502,64583,3.92,4239,63
603,17,031,260500,35543,3.97,1797,1739
604,17,031,180100,78866,3.44,5786,142
605,17,031,030706,56049,2.65,3578,736
606,17,031,151002,56240,3.87,4158,15
607,17,031,010300,55337,2.99,6077,1546
608,17,031,834500,32201,3.98,1520,1418
609,17,031,530300,52513,3.64,4638,4494
610,17,031,031400,86404,2.35,5114,535
611,17,031,222900,45750,3.65,816,74
612,17,031,020200,80364,3.55,6634,810
613,17,031,491300,33804,3.93,2228,2105
614,17,031,530100,33388,4.02,2181,955
615,17,031,440102,27305,2.96,3019,2952
616,17,031,600600,46032,3.67,2947,83
617,17,031,310200,66746,3.15,1521,90
618,17,031,200300,50595,3.83,2399,23
619,17,031,220901,44323,4.25,3169,242
620,17,031,120300,128459,3.24,6347,68
621,17,031,140701,62948,3.45,2642,107
622,17,031,081402,152128,2.26,4758,272
623,17,031,150402,71411,3.52,3640,1
624,17,031,611200,33669,4.19,2440,413
625,17,031,242800,76150,2.88,1360,9
626,17,031,440900,44341,3.84,2456,2375
627,17,031,440600,57526,3.45,1987,1951
628,17,031,711300,45915,3.70,1765,1699
629,17,031,833300,83864,3.06,2634,198
630,17,031,760803,49298,2.97,6632,35
631,17,031,081800,130958,2.29,7325,177
632,17,031,831400,46504,3.23,2826,1932
633,17,031,390200,66069,2.87,1621,1320
634,17,031,630200,41271,4.40,2103,84
635,17,031,660301,23282,4.35,1988,644
636,17,031,839600,51954,2.91,1746,1525
637,17,031,561000,81653,3.26,5272,40
638,17,031,400400,38633,3.42,1818,1803
639,17,031,830500,49987,4.19,4389,0
640,17,031,840700,37541,4.27,4272,235
641,17,031,250800,43551,3.45,2348,1751
642,17,031,040800,98006,2.91,1876,69
643,17,031,271500,34632,3.78,1405,1344
644,17,031,390700,70069,2.53,5764,2805
645,17,031,820901,49709,3.74,5545,146
646,17,031,030101,55778,2.50,3613,743
647,17,031,381500,44989,3.67,252,210
648,17,031,580502,57344,4.23,5324,28
649,17,031,810701,58195,3.62,5262,33
650,17,031,670300,37731,3.86,1201,1063
651,17,031,220701,60065,3.44,3406,187
652,17,031,250300,43777,3.77,4796,3307
653,17,031,090200,113173,3.23,6767,120
654,17,031,640800,60284,4.03,1821,6
655,17,031,640700,65703,3.54,3221,23
656,17,031,500100,45606,3.04,3084,3027
657,17,031,150502,66759,3.65,4720,24
658,17,031,461000,24912,3.83,1814,906
659,17,031,283200,69315,3.27,1602,529
660,17,031,730100,56070,3.50,2504,2444
661,17,031,210100,63079,3.05,3480,100
662,17,031,480200,41939,3.16,1208,1189
663,17,031,030703,61418,2.34,2736,455
664,17,031,491400,35882,3.42,2462,2386
665,17,031,843400,41141,3.71,1281,1044
666,17,031,510100,51110,4.10,3165,481
667,17,031,836900,41675,4.09,1500,1329
668,17,031,720100,132888,3.18,3366,1165
669,17,031,140500,72201,3.81,4352,175
670,17,031,250600,61779,4.08,4370,3993
671,17,031,480100,76355,2.91,2095,2027
672,17,031,840100,44936,3.69,2639,20
673,17,031,812100,111863,3.19,4646,1180
674,17,031,320400,267170,2.19,2995,374
675,17,031,570100,56644,4.10,1237,4
676,17,031,561100,84789,3.60,5663,0
677,17,031,750300,100732,3.23,2549,196
678,17,031,740400,84970,3.47,4857,451
679,17,031,130100,61018,3.32,5169,114
680,17,031,071800,188626,3.03,2714,486
681,17,031,051100,127003,3.07,1454,14
682,17,031,610400,28008,4.32,2040,23
683,17,031,580200,44830,4.11,3020,102
684,17,031,062500,168471,2.83,1383,0
685,17,031,830800,81844,2.70,2531,173
686,17,031,062200,144700,2.59,2697,113
687,17,031,611100,27928,4.16,2324,271
688,17,031,611400,35153,4.32,3405,82
689,17,031,020301,84280,3.67,5142,331
690,17,031,140301,66001,4.10,2798,55
691,17,031,110200,74091,3.19,3055,57
692,17,031,420400,32771,2.96,1307,812
693,17,031,221500,57281,2.69,2610,107
694,17,031,460302,32257,4.52,3619,3359
695,17,031,680500,27526,3.62,1274,1190
696,17,031,831500,67181,3.73,3541,236
697,17,031,700402,82538,3.67,4192,2974
698,17,031,611000,26694,3.94,931,464
699,17,031,170900,66146,3.41,1729,73
700,17,031,810900,58128,2.97,6210,133
701,17,031,670500,32203,4.10,1072,886
702,17,031,611700,33435,3.54,1267,575
703,17,031,080100,185124,2.57,7078,277
704,17,031,031501,48502,2.70,3653,1231
705,17,031,351500,53569,3.09,447,214
706,17,031,540101,21767,3.82,3779,3602
707,17,031,611600,42363,4.47,1604,1118
708,17,031,250200,50598,4.21,2860,1625
709,17,031,060900,72292,2.80,6849,278
710,17,031,063200,98495,2.62,6942,288
711,17,031,420200,48437,3.79,1771,1337
712,17,031,291600,47115,3.07,859,153
713,17,031,240800,51472,3.98,1763,161
714,17,031,010503,44922,2.96,2080,198
715,17,031,030104,43349,2.28,3487,433
716,17,031,170100,54649,2.56,1865,98
717,17,031,550200,70437,3.65,2772,0
718,17,031,810400,102392,3.11,5396,1
719,17,031,063100,116814,2.67,2454,18
720,17,031,671200,36231,3.81,1064,1031
721,17,031,700200,60324,3.98,6785,930
722,17,031,351400,30163,3.46,1651,1491
723,17,031,700502,89564,3.44,3162,2816
724,17,031,460600,36770,3.74,948,676
725,17,031,540102,19694,3.54,3311,3134
726,17,031,490400,67212,3.37,929,906
727,17,031,430600,58722,3.38,1619,1477
728,17,031,380200,40878,2.91,1786,1590
729,17,031,836200,104138,3.05,1756,113
730,17,031,640100,59718,3.75,1342,61
731,17,031,838200,52015,3.13,1969,459
732,17,031,750200,88142,3.16,3050,1656
733,17,031,750400,102829,3.28,3150,1100
734,17,031,380700,39642,3.28,1186,944
